       Time_s           01           02           03           04           05
   4.2000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3629E-03   5.2005E+00
   4.2500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3629E-03   5.2005E+00
   4.3000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3629E-03   5.2005E+00
   4.3500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3629E-03   5.2006E+00
   4.4000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3629E-03   5.2006E+00
   4.4500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3629E-03   5.2006E+00
   4.5000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3630E-03   5.2006E+00
   4.5500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3630E-03   5.2006E+00
   4.6000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3630E-03   5.2006E+00
   4.6500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3630E-03   5.2006E+00
   4.7000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3630E-03   5.2006E+00
   4.7500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3630E-03   5.2006E+00
   4.8000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3630E-03   5.2007E+00
   4.8500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3630E-03   5.2007E+00
   4.9000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3630E-03   5.2007E+00
   4.9500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3631E-03   5.2007E+00
   5.0000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3631E-03   5.2007E+00
   5.0600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3631E-03   5.2007E+00
   5.1200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3631E-03   5.2007E+00
   5.1800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3631E-03   5.2007E+00
   5.2400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3631E-03   5.2008E+00
   5.3000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3631E-03   5.2008E+00
   5.3600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3632E-03   5.2008E+00
   5.4200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3632E-03   5.2008E+00
   5.4800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3632E-03   5.2008E+00
   5.5400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3632E-03   5.2008E+00
   5.6000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3632E-03   5.2008E+00
   5.6600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3632E-03   5.2009E+00
   5.7200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3632E-03   5.2009E+00
   5.7800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3632E-03   5.2009E+00
   5.8400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3633E-03   5.2009E+00
   5.9000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3633E-03   5.2009E+00
   5.9600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3633E-03   5.2009E+00
   6.0200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3633E-03   5.2009E+00
   6.0900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3633E-03   5.2009E+00
   6.1600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3633E-03   5.2010E+00
